reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
antenna='2&6' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='3&23' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='18&23' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='18&23' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='15&23' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='15&23' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='16&23' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&29' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&29' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='23&29' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&6' scan='6' timerange='2016/05/14/07:15:28~2016/05/14/07:17:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&6' scan='6' timerange='2016/05/14/07:16:49~2016/05/14/07:19:15' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='6' timerange='2016/05/14/07:15:28~2016/05/14/07:17:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='5&8' scan='6' timerange='2016/05/14/07:16:49~2016/05/14/07:19:15' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='6' timerange='2016/05/14/07:14:07~2016/05/14/07:16:34' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='11&23' scan='6' timerange='2016/05/14/07:15:28~2016/05/14/07:17:55' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='6' timerange='2016/05/14/07:12:47~2016/05/14/07:15:14' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
